"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3301702";"Duque de Caxias (RJ)";"Canalizada, mas apenas no terreno";"16778";"8978";"6809";"377";"43";"215";"45";"14";"297"
"MU";"3301702";"Duque de Caxias (RJ)";"Sem água canalizada";"8707";"-";"6386";"508";"147";"677";"134";"21";"834"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Total";"4791";"2377";"1000";"790";"596";"1";"3";"19";"5"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4745";"2366";"982";"783";"587";"1";"3";"19";"4"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Canalizada, mas apenas no terreno";"32";"11";"11";"5";"5";"-";"-";"-";"-"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Sem água canalizada";"14";"-";"7";"2";"4";"-";"-";"-";"1"
"MU";"3301850";"Guapimirim (RJ)";"Total";"18498";"11753";"4484";"613";"1289";"32";"12";"65";"250"
"MU";"3301850";"Guapimirim (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"17568";"11536";"3907";"577";"1275";"25";"7";"64";"177"
"MU";"3301850";"Guapimirim (RJ)";"Canalizada, mas apenas no terreno";"403";"217";"152";"14";"5";"2";"2";"1";"10"
"MU";"3301850";"Guapimirim (RJ)";"Sem água canalizada";"527";"-";"425";"22";"9";"5";"3";"-";"63"
"MU";"3301876";"Iguaba Grande (RJ)";"Total";"10312";"9962";"78";"14";"35";"177";"11";"9";"26"
"MU";"3301876";"Iguaba Grande (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"10135";"9861";"55";"9";"35";"151";"6";"9";"9"
"MU";"3301876";"Iguaba Grande (RJ)";"Canalizada, mas apenas no terreno";"121";"101";"7";"1";"-";"8";"1";"-";"3"
"MU";"3301876";"Iguaba Grande (RJ)";"Sem água canalizada";"56";"-";"16";"4";"-";"18";"4";"-";"14"
"MU";"3301900";"Itaboraí (RJ)";"Total";"86584";"21854";"46398";"13673";"131";"2267";"162";"185";"1914"
"MU";"3301900";"Itaboraí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"81200";"21275";"43705";"12346";"121";"1944";"114";"172";"1523"
"MU";"3301900";"Itaboraí (RJ)";"Canalizada, mas apenas no terreno";"2475";"579";"1079";"617";"4";"88";"5";"3";"100"
"MU";"3301900";"Itaboraí (RJ)";"Sem água canalizada";"2909";"-";"1614";"710";"6";"235";"43";"10";"291"
"MU";"3302007";"Itaguaí (RJ)";"Total";"42279";"34163";"6253";"196";"681";"7";"10";"317";"652"
"MU";"3302007";"Itaguaí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"41529";"33968";"5821";"177";"646";"5";"9";"316";"587"
"MU";"3302007";"Itaguaí (RJ)";"Canalizada, mas apenas no terreno";"365";"195";"153";"6";"5";"-";"-";"1";"5"
"MU";"3302007";"Itaguaí (RJ)";"Sem água canalizada";"385";"-";"279";"13";"30";"2";"1";"-";"60"
"MU";"3302056";"Italva (RJ)";"Total";"5598";"4835";"376";"118";"110";"123";"-";"5";"31"
"MU";"3302056";"Italva (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"5503";"4801";"350";"115";"107";"109";"-";"3";"18"
