"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3303609";"Paracambi (RJ)";"100,00000";"73,65742";"69,45427";"4,20314";"3,18495";"2,34060";"10,61029";"9,77836";"0,40976";"0,01863"
"MU";"3303708";"Paraíba do Sul (RJ)";"100,00000";"81,16819";"78,76735";"2,40084";"4,80826";"4,15707";"2,07854";"7,66954";"0,11182";"0,00658"
"MU";"3303807";"Paraty (RJ)";"100,00000";"17,71595";"12,25059";"5,46536";"69,29607";"11,36448";"0,16111";"0,80555";"0,57628";"0,08056"
"MU";"3303856";"Paty do Alferes (RJ)";"100,00000";"49,18666";"30,29133";"18,89532";"23,51806";"9,87961";"8,44591";"8,26211";"0,68008";"0,02757"
"MU";"3303906";"Petrópolis (RJ)";"100,00000";"75,93359";"71,55435";"4,37924";"8,31501";"3,63643";"1,54936";"10,32539";"0,23005";"0,01016"
"MU";"3303955";"Pinheiral (RJ)";"100,00000";"91,58157";"89,58475";"1,99682";"2,76832";"1,70184";"1,41820";"2,35988";"0,14749";"0,02269"
"MU";"3304003";"Piraí (RJ)";"100,00000";"73,48597";"67,82635";"5,65963";"14,46129";"4,07374";"2,52751";"5,09466";"0,35682";"-"
"MU";"3304102";"Porciúncula (RJ)";"100,00000";"75,12848";"73,46208";"1,66641";"5,34185";"3,22380";"3,48855";"12,63043";"0,18689";"-"
"MU";"3304110";"Porto Real (RJ)";"100,00000";"94,50397";"92,66732";"1,83665";"2,86629";"1,32183";"0,80701";"0,36176";"0,12523";"0,01391"
"MU";"3304128";"Quatis (RJ)";"100,00000";"86,09732";"80,55611";"5,54121";"3,21748";"2,12512";"1,21152";"7,18967";"0,09930";"0,05958"
"MU";"3304144";"Queimados (RJ)";"100,00000";"88,87479";"79,77625";"9,09854";"2,08525";"2,25121";"5,08425";"1,40578";"0,27530";"0,02343"
