"Tabela 6806 - Domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"2022"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Total";"Tinham banheiro de uso exclusivo do domicílio";"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";"Apenas banheiro de uso comum a mais de um domicílio";"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";"Não tinham banheiro nem sanitário"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"113903";"113798";"73453";"28344";"8570";"3431";"86";"19";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Rede geral ou pluvial";"109651";"109555";"70300";"27472";"8389";"3394";"79";"17";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"4252";"4243";"3153";"872";"181";"37";"7";"2";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"22932";"22865";"17697";"4313";"664";"191";"44";"23";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Fossa rudimentar ou buraco";"34021";"33781";"27597";"5455";"611";"118";"104";"136";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Vala";"2683";"2658";"2182";"409";"56";"11";"7";"18";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Rio, lago, córrego ou mar";"1604";"1598";"1300";"263";"31";"4";"5";"1";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Outra forma";"538";"494";"422";"54";"13";"5";"22";"22";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Não tinham banheiro nem sanitário";"63";"-";"-";"-";"-";"-";"-";"-";"63"
"MU";"3301108";"Cantagalo (RJ)";"Total";"7289";"7288";"5040";"1726";"386";"136";"-";"1";"-"
"MU";"3301108";"Cantagalo (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"5544";"5544";"3796";"1332";"313";"103";"-";"-";"-"
"MU";"3301108";"Cantagalo (RJ)";"Rede geral ou pluvial";"5191";"5191";"3603";"1220";"271";"97";"-";"-";"-"
"MU";"3301108";"Cantagalo (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"353";"353";"193";"112";"42";"6";"-";"-";"-"
"MU";"3301108";"Cantagalo (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"695";"695";"450";"172";"49";"24";"-";"-";"-"
