"Tabela 6326 - Domicílios particulares permanentes ocupados, por tipo de domicílio"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de domicílio"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Casa";"Casa de vila ou em condomínio";"Apartamento";"Habitação em casa de cômodos ou cortiço";"Habitação indígena sem paredes ou maloca";"Estrutura residencial permanente degradada ou inacabada"
"MU";"3301850";"Guapimirim (RJ)";"100,00000";"94,96702";"4,16802";"0,71359";"0,14596";"-";"0,00541"
"MU";"3301876";"Iguaba Grande (RJ)";"100,00000";"90,57409";"5,62452";"3,72382";"0,06788";"-";"0,00970"
"MU";"3301900";"Itaboraí (RJ)";"100,00000";"83,96355";"9,40358";"6,17782";"0,32339";"-";"0,13166"
"MU";"3302007";"Itaguaí (RJ)";"100,00000";"92,20653";"4,96700";"2,61359";"0,18449";"-";"0,02838"
"MU";"3302056";"Italva (RJ)";"100,00000";"97,71347";"0,03573";"2,23294";"0,01786";"-";"-"
"MU";"3302106";"Itaocara (RJ)";"100,00000";"91,17842";"0,28742";"8,43467";"0,09949";"-";"-"
"MU";"3302205";"Itaperuna (RJ)";"100,00000";"86,50173";"0,93558";"12,43276";"0,07017";"-";"0,05977"
"MU";"3302254";"Itatiaia (RJ)";"100,00000";"94,70723";"2,20679";"2,55847";"0,35168";"-";"0,17584"
"MU";"3302270";"Japeri (RJ)";"100,00000";"94,43476";"2,69386";"2,70632";"0,13703";"-";"0,02803"
"MU";"3302304";"Laje do Muriaé (RJ)";"100,00000";"95,78446";"-";"4,14223";"-";"-";"0,07331"
"MU";"3302403";"Macaé (RJ)";"100,00000";"75,07334";"3,40610";"21,27788";"0,20816";"-";"0,03451"
"MU";"3302452";"Macuco (RJ)";"100,00000";"91,39175";"0,46392";"8,04124";"0,10309";"-";"-"
"MU";"3302502";"Magé (RJ)";"100,00000";"96,02803";"2,40996";"1,42812";"0,11459";"-";"0,01930"
"MU";"3302601";"Mangaratiba (RJ)";"100,00000";"83,75515";"7,63083";"8,22074";"0,35522";"-";"0,03806"
"MU";"3302700";"Maricá (RJ)";"100,00000";"84,08664";"9,46443";"6,13037";"0,17834";"-";"0,14022"
"MU";"3302809";"Mendes (RJ)";"100,00000";"94,99783";"1,80714";"3,12274";"0,07229";"-";"-"
"MU";"3302858";"Mesquita (RJ)";"100,00000";"80,14087";"9,78422";"9,75388";"0,24277";"-";"0,07826"
"MU";"3302908";"Miguel Pereira (RJ)";"100,00000";"93,27805";"1,37561";"5,34634";"-";"-";"-"
"MU";"3303005";"Miracema (RJ)";"100,00000";"96,03166";"0,31247";"3,57254";"0,07291";"-";"0,01042"
"MU";"3303104";"Natividade (RJ)";"100,00000";"97,13583";"0,07029";"2,72360";"0,07029";"-";"-"
"MU";"3303203";"Nilópolis (RJ)";"100,00000";"71,52004";"15,93369";"12,16560";"0,29997";"-";"0,08069"
"MU";"3303302";"Niterói (RJ)";"100,00000";"50,63293";"5,20073";"43,95039";"0,18921";"-";"0,02674"
"MU";"3303401";"Nova Friburgo (RJ)";"100,00000";"75,64657";"4,09285";"20,06606";"0,16189";"-";"0,03264"
"MU";"3303500";"Nova Iguaçu (RJ)";"100,00000";"85,30466";"4,86623";"9,60485";"0,20340";"-";"0,02086"
"MU";"3303609";"Paracambi (RJ)";"100,00000";"91,41988";"2,11709";"6,34507";"0,08071";"-";"0,03725"
"MU";"3303708";"Paraíba do Sul (RJ)";"100,00000";"91,17937";"0,37493";"8,34046";"0,10524";"-";"-"
"MU";"3303807";"Paraty (RJ)";"100,00000";"88,85240";"9,06556";"0,87991";"1,04722";"-";"0,15491"
"MU";"3303856";"Paty do Alferes (RJ)";"100,00000";"96,99476";"0,45952";"2,50896";"0,03676";"-";"-"
"MU";"3303906";"Petrópolis (RJ)";"100,00000";"81,15634";"3,05530";"15,72461";"0,04435";"-";"0,01940"
"MU";"3303955";"Pinheiral (RJ)";"100,00000";"95,25754";"0,53324";"4,19787";"0,01135";"-";"-"
"MU";"3304003";"Piraí (RJ)";"100,00000";"94,26108";"2,39865";"3,27089";"0,05947";"-";"0,00991"
"MU";"3304102";"Porciúncula (RJ)";"100,00000";"98,02211";"0,03115";"1,82215";"0,12459";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"100,00000";"95,19967";"0,66787";"4,04898";"0,08348";"-";"-"
"MU";"3304128";"Quatis (RJ)";"100,00000";"96,20655";"0,79444";"2,76068";"0,21847";"-";"0,01986"
"MU";"3304144";"Queimados (RJ)";"100,00000";"90,76283";"2,75494";"6,43146";"0,03710";"-";"0,01367"
"MU";"3304151";"Quissamã (RJ)";"100,00000";"96,41931";"1,37054";"2,08668";"0,11112";"-";"0,01235"
"MU";"3304201";"Resende (RJ)";"100,00000";"78,79768";"4,24420";"16,80669";"0,13484";"-";"0,01660"
"MU";"3304300";"Rio Bonito (RJ)";"100,00000";"92,17445";"2,93576";"4,69628";"0,16992";"-";"0,02360"
"MU";"3304409";"Rio Claro (RJ)";"100,00000";"97,17849";"0,43648";"2,36945";"-";"-";"0,01559"
"MU";"3304508";"Rio das Flores (RJ)";"100,00000";"96,47662";"0,70468";"2,78668";"-";"-";"0,03203"
"MU";"3304524";"Rio das Ostras (RJ)";"100,00000";"77,39762";"8,12270";"14,29176";"0,09480";"-";"0,09311"
"MU";"3304557";"Rio de Janeiro (RJ)";"100,00000";"52,64174";"7,06598";"39,51635";"0,73288";"-";"0,04305"
"MU";"3304607";"Santa Maria Madalena (RJ)";"100,00000";"96,84131";"0,15041";"2,85786";"0,12534";"-";"0,02507"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"100,00000";"92,05918";"1,06215";"6,76487";"0,08851";"-";"0,02529"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"100,00000";"98,95821";"0,52089";"0,49774";"0,01158";"-";"0,01158"
"MU";"3304805";"São Fidélis (RJ)";"100,00000";"92,68178";"1,03971";"6,21814";"0,03354";"-";"0,02683"
"MU";"3304904";"São Gonçalo (RJ)";"100,00000";"81,52236";"6,45820";"11,82928";"0,16001";"-";"0,03016"
"MU";"3305000";"São João da Barra (RJ)";"100,00000";"98,74862";"0,24198";"1,00249";"0,00691";"-";"-"
"MU";"3305109";"São João de Meriti (RJ)";"100,00000";"84,51215";"10,79806";"4,28450";"0,37684";"-";"0,02844"
"MU";"3305133";"São José de Ubá (RJ)";"100,00000";"93,10216";"0,03729";"6,74870";"0,11186";"-";"-"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"100,00000";"94,10626";"0,61721";"4,84086";"0,22994";"-";"0,20574"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"100,00000";"85,67218";"7,79644";"6,41922";"0,07564";"-";"0,03652"
"MU";"3305307";"São Sebastião do Alto (RJ)";"100,00000";"96,88995";"0,23923";"2,73411";"0,06835";"-";"0,06835"
"MU";"3305406";"Sapucaia (RJ)";"100,00000";"91,94681";"0,11953";"7,88884";"0,04482";"-";"-"
