ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2023,A91,Dengue Hemorrágica,Vetor,3300100,Angra dos Reis,167434,3306305,Volta Redonda,261563,43
2016,A90,Dengue,Vetor,3303500,Nova Iguaçu,797435,3304557,Rio de Janeiro,6498837,43
2023,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,43
2014,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,227168,3304300,Rio Bonito,57284,41
2021,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,20254,3304110,Porto Real,20254,41
2023,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3306305,Volta Redonda,261563,41
2017,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,798647,3304557,Rio de Janeiro,6520266,41
2019,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,161207,3304904,São Gonçalo,1084839,41
2022,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,40
2015,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,99863,3303609,Paracambi,49521,40
2022,A90,Dengue,Vetor,3302270,Japeri,96289,3302270,Japeri,96289,40
2022,A91,Dengue Hemorrágica,Vetor,3300100,Angra dos Reis,167434,3306305,Volta Redonda,261563,40
2015,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,146549,3304557,Rio de Janeiro,6476631,40
2014,A90,Dengue,Vetor,3300100,Angra dos Reis,184940,3300100,Angra dos Reis,184940,40
2020,A90,Dengue,Vetor,3304110,Porto Real,19974,3304110,Porto Real,19974,40
2020,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,823302,3301702,Duque de Caxias,924624,40
2017,A91,Dengue Hemorrágica,Vetor,3304300,Rio Bonito,58272,3304300,Rio Bonito,58272,40
2017,A90,Dengue,Vetor,3300100,Angra dos Reis,194619,3300100,Angra dos Reis,194619,39
2018,A90,Dengue,Vetor,3305000,São João da Barra,36138,3305000,São João da Barra,36138,39
2016,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,230786,3304904,São Gonçalo,1044058,38
2014,A90,Dengue,Vetor,3302700,Maricá,143111,3304904,São Gonçalo,1031903,37
2021,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,825388,3303302,Niterói,516981,37
2017,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,57921,3305802,Teresópolis,176060,37
2016,A91,Dengue Hemorrágica,Vetor,3304300,Rio Bonito,57963,3304904,São Gonçalo,1044058,37
2024,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,102149,3302270,Japeri,102149,37
2024,A90,Dengue,Vetor,3302700,Maricá,211986,3303302,Niterói,516720,37
2024,A91,Dengue Hemorrágica,Vetor,3302270,Japeri,102149,3303500,Nova Iguaçu,843046,36
2014,A90,Dengue,Vetor,3301900,Itaboraí,227168,3301900,Itaboraí,227168,36
2023,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,36573,3301009,Campos dos Goytacazes,483540,34
2023,A90,Dengue,Vetor,3301900,Itaboraí,224267,3303500,Nova Iguaçu,785867,34
2014,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,55626,3301850,Guapimirim,55626,34
2016,A90,Dengue,Vetor,3303500,Nova Iguaçu,797435,3303609,Paracambi,50071,33
